No.,Page,Source PDF,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Difficulty,Has Image,Image Reference,Status,Notes
143,18,1. FINAL COACHING WITH ANSWER KEY.pdf,Which of the following does not belong to the metacognitive reading activities?,Predicting,Testing,Sampling,Perceiving,,,,Both,Professional Education,Cannot Determine,No,,Duplicate,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Duplicate or near-duplicate of the earlier LET extraction batch."
144,18,1. FINAL COACHING WITH ANSWER KEY.pdf,"Among examples listed, which does not represent teaching strategies to develop metacognition?",Have the students develop questions about what is going on around them,Have teachers the free hand to monitor and rate learning achievement,Have students to monitor their own learning and thinking,Have students make predictions about what is to be represented,,,,Both,Professional Education,Cannot Determine,No,,Duplicate,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Duplicate or near-duplicate of the earlier LET extraction batch."
145,18,1. FINAL COACHING WITH ANSWER KEY.pdf,"Among components in the instructional framework for learning strategies, which is demonstrated by teacher Jiny who worked together with her students on a skill or task and figure out how to apply the skill?",Independent practice,Guided practice,Consolidation,Review,,,,Both,Professional Education,Cannot Determine,No,,Duplicate,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Duplicate or near-duplicate of the earlier LET extraction batch."
146,19,1. FINAL COACHING WITH ANSWER KEY.pdf,"Principal Ted thinks uses free and open dialogue, event confrontation, so that teachers and learners can learn to discard old habits and attitudes. What is his general view about learning?",It requires school resources,It is at times a painful process,It is a consequence of experience,It is primarily a fun experience,,C,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
147,19,1. FINAL COACHING WITH ANSWER KEY.pdf,"John Dewey said, “An ounce of experience is better than a ton of theory.” To which does this statement point?",The need for theory,The need for experience,The primacy of experience,The primacy of theory,,C,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
148,19,1. FINAL COACHING WITH ANSWER KEY.pdf,"Someone said, “Experience without theory is blind, but theory without experience is mere intellectual play.” This means that:",Theory and experience must go hand-in-hand,Theory is more important than experience,Experience is more important than theory,One can stand without the other,,A,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
149,19,1. FINAL COACHING WITH ANSWER KEY.pdf,"What dependent variable can be used to test the hypothesis, “The more a teacher knows about a specific subject matter, the better she can teach it”?",Teacher’s yearly performance rating,Personality traits of the teacher,Motivation from the school head,Incentives offered to teachers,,A,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
150,19,1. FINAL COACHING WITH ANSWER KEY.pdf,"In the school, who is the key to the success or failure in teaching-and-learning, being the link between the child and the curriculum?",The teacher,The parent,The student,The principal,,A,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
151,19,1. FINAL COACHING WITH ANSWER KEY.pdf,"In outcomes based education, which of the following are not considered outcomes?",Products,Procedures,Portfolios,Performances,,B,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
152,19,1. FINAL COACHING WITH ANSWER KEY.pdf,What is the erroneous concept of outcomes in Outcomes-Based Education?,Performance,Products,Results,Content,,D,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
153,19,1. FINAL COACHING WITH ANSWER KEY.pdf,"In a Problem-Based Learning Group, who take notes, join discussion and review materials?",Facilitator,Team leader,Team members,Recorder,,C,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
154,19,1. FINAL COACHING WITH ANSWER KEY.pdf,"In assessment for Problem-Based Learning, who are responsible in judging student performance?",Teacher-and-peers,Teacher-and-supervisors,Teacher-and-students,Teacher-students-supervisors,,C,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
155,20,1. FINAL COACHING WITH ANSWER KEY.pdf,"Following a model procedure, how is the process in Problem-Based Learning sequenced? I. List action for what we need to know II. Explore the issues III. Write solution with supporting document IV. Develop and write problems statement","I, IV, II, and III","II, I, IV, and III","II, IV, I, and III","III, I, IV, and II",,C,,Both,Professional Education,Cannot Determine,No,,Ready for Upload,"Professional Education final coaching set. The filename says with answer key, but no usable answer key was exposed in extracted PDF text. No answer key found in extracted PDF text. Correct answer recovered from bold/highlighted answer choice in the PDF."
